Filename,Face ID,Condition,Age,Confidence,Clear Skin %,Dark Spots %,Puffy Eyes %,Wrinkles %
istockphoto-1987655119-612x612.jpg,1,Clear Skin,28,99.6%,99.6%,0.0%,0.3%,0.1%
360_F_235640074_2Skd8KnsTBFxFx0xNPsPszDXVzyFAEy3.jpg,1,Wrinkles,85,83.0%,0.2%,0.0%,16.8%,83.0%
